SW2,ElevRaw,waterStage,flowm3s
2023-01-01 00:00:00,145.26278594971703,148.66278594971703,2.5588750578868344
2023-01-01 01:00:00,145.27300381598764,148.67300381598764,2.702862153410778
2023-01-01 02:00:00,145.2924937139906,148.69249371399061,3.0718823113370033
2023-01-01 03:00:00,145.3023537593226,148.70235375932262,3.2657056617451286
2023-01-01 04:00:00,145.31845775478942,148.71845775478943,3.5923838198827625
2023-01-01 05:00:00,145.32757185225321,148.72757185225322,3.78275157623524
2023-01-01 06:00:00,145.33269782278742,148.73269782278743,3.8915400220842544
2023-01-01 07:00:00,145.33625775478941,148.73625775478942,3.9678168489228742
2023-01-01 08:00:00,145.33412790211844,148.73412790211844,3.9221104083058953
2023-01-01 09:00:00,145.33187807211345,148.73187807211346,3.874059625196085
2023-01-01 10:00:00,145.32964011517885,148.72964011517885,3.826497790095212
2023-01-01 11:00:00,145.32829205624725,148.72829205624726,3.7979619071603534
2023-01-01 12:00:00,145.32299005851382,148.72299005851383,3.6865593419478784
2023-01-01 13:00:00,145.31633400864862,148.71633400864863,3.5485910731195287
2023-01-01 14:00:00,145.31272401998163,148.71272401998164,3.4746451862115837
2023-01-01 15:00:00,145.31107396331663,148.71107396331664,3.441053656741676
2023-01-01 16:00:00,145.30159816277745,148.70159816277746,3.2506850109310634
2023-01-01 17:00:00,145.29604821944244,148.69604821944245,3.1412076897362544
2023-01-01 18:00:00,145.29997019450985,148.69997019450986,3.2184165311134127
2023-01-01 19:00:00,145.29890426930766,148.69890426930766,3.197358307015396
2023-01-01 20:00:00,145.29278040983687,148.69278040983687,3.077450928819141
2023-01-01 21:00:00,145.29551237357126,148.69551237357126,3.130717208955973
2023-01-01 22:00:00,145.29307042116986,148.69307042116986,3.083088048699076
2023-01-01 23:00:00,145.29075643703607,148.69075643703607,3.0382247992455467
2023-01-02 00:00:00,145.29027641437006,148.69027641437006,3.0289511478440083
2023-01-02 01:00:00,145.29298617637704,148.69298617637705,3.0814501080967465
2023-01-02 02:00:00,145.29232812877845,148.69232812877846,3.0686679164691437
2023-01-02 03:00:00,145.28989416731065,148.68989416731065,3.0215745560613665
2023-01-02 04:00:00,145.29258018317685,148.69258018317686,3.0735614148086583
2023-01-02 05:00:00,145.29536808344645,148.69536808344645,3.1278947798684715
2023-01-02 06:00:00,145.29767207891325,148.69767207891326,3.1730843423739774
2023-01-02 07:00:00,145.29971802678145,148.69971802678145,3.21342975804306
2023-01-02 08:00:00,145.29930227157425,148.69930227157425,3.205214697418435
2023-01-02 09:00:00,145.30062835543845,148.70062835543845,3.2314466403576834
2023-01-02 10:00:00,145.30026842343648,148.70026842343648,3.2243181849282956
2023-01-02 11:00:00,145.29719062516386,148.69719062516387,3.1636198925061474
2023-01-02 12:00:00,145.30088440530366,148.70088440530367,3.2365215424132234
2023-01-02 13:00:00,145.29833623304205,148.69833623304206,3.1861588842341932
2023-01-02 14:00:00,145.30019616504404,148.70019616504405,3.2228878661881173
2023-01-02 15:00:00,145.29604411064565,148.69604411064566,3.1411271966810004
2023-01-02 16:00:00,145.30081802678143,148.70081802678143,3.2352056158329994
2023-01-02 17:00:00,145.30078195425023,148.70078195425023,3.2344905826995847
2023-01-02 18:00:00,145.30210193158422,148.70210193158422,3.2606964514561216
2023-01-02 19:00:00,145.30333600638204,148.70333600638205,3.2852733325605024
2023-01-02 20:00:00,145.30603789078543,148.70603789078544,3.3393394003963377
2023-01-02 21:00:00,145.30279982052082,148.70279982052082,3.2745859989486115
2023-01-02 22:00:00,145.303735553062,148.70373555306202,3.293246210276968
2023-01-02 23:00:00,145.30075952586282,148.70075952586282,3.234046036956608
2023-01-03 00:00:00,145.3028013649342,148.7028013649342,3.2746167624100027
2023-01-03 01:00:00,145.30334297734555,148.70334297734556,3.2854123705340426
2023-01-03 02:00:00,145.30532699547837,148.70532699547837,3.3250798103647714
2023-01-03 03:00:00,145.30844708614237,148.70844708614237,3.387845921165967
2023-01-03 04:00:00,145.31271255802454,148.71271255802455,3.4744113958165457
2023-01-03 05:00:00,145.30917836989673,148.70917836989673,3.402624842836426
2023-01-03 06:00:00,145.3172361908353,148.7172361908353,3.5671682838089818
2023-01-03 07:00:00,145.3305742610999,148.73057426109992,3.84632200253444
2023-01-03 08:00:00,145.3377161001713,148.7377161001713,3.9992348816723586
