SW2,ElevRaw,waterStage,flowm3s
2023-01-01 00:00:00,145.26278594971703,148.66278594971703,11.027596184786299
2023-01-01 01:00:00,145.27300381598764,148.67300381598764,11.22812776569773
2023-01-01 02:00:00,145.2924937139906,148.69249371399061,11.668551195368549
2023-01-01 03:00:00,145.3023537593226,148.70235375932262,11.871946045381854
2023-01-01 04:00:00,145.31845775478942,148.71845775478943,12.207158177208472
2023-01-01 05:00:00,145.32757185225321,148.72757185225322,12.398523477385744
2023-01-01 06:00:00,145.33269782278742,148.73269782278743,12.506674131816288
2023-01-01 07:00:00,145.33625775478941,148.73625775478942,12.582004530643188
2023-01-01 08:00:00,145.33412790211844,148.73412790211844,12.536913763982277
2023-01-01 09:00:00,145.33187807211345,148.73187807211346,12.48935333073452
2023-01-01 10:00:00,145.32964011517885,148.72964011517885,12.442115652803214
2023-01-01 11:00:00,145.32829205624725,148.72829205624726,12.413696062077452
2023-01-01 12:00:00,145.32299005851382,148.72299005851383,12.302172437255107
2023-01-01 13:00:00,145.31633400864862,148.71633400864863,12.16273785008637
2023-01-01 14:00:00,145.31272401998163,148.71272401998164,12.087379947555764
2023-01-01 15:00:00,145.31107396331663,148.71107396331664,12.052997703847895
2023-01-01 16:00:00,145.30159816277745,148.70159816277746,11.856309742079558
2023-01-01 17:00:00,145.29604821944244,148.69604821944245,11.741712109302696
2023-01-01 18:00:00,145.29997019450985,148.69997019450986,11.822648611013477
2023-01-01 19:00:00,145.29890426930766,148.69890426930766,11.800629459789974
2023-01-01 20:00:00,145.29278040983687,148.69278040983687,11.67444535446819
2023-01-01 21:00:00,145.29551237357126,148.69551237357126,11.730671308613765
2023-01-01 22:00:00,145.29307042116986,148.69307042116986,11.680408887721324
2023-01-01 23:00:00,145.29075643703607,148.69075643703607,11.632860117164443
2023-01-02 00:00:00,145.29027641437006,148.69027641437006,11.623006117126621
2023-01-02 01:00:00,145.29298617637704,148.69298617637705,11.678676427732274
2023-01-02 02:00:00,145.29232812877845,148.69232812877846,11.665147483445026
2023-01-02 03:00:00,145.28989416731065,148.68989416731065,11.615161663217206
2023-01-02 04:00:00,145.29258018317685,148.69258018317686,11.670328783696098
2023-01-02 05:00:00,145.29536808344645,148.69536808344645,11.72769900234495
2023-01-02 06:00:00,145.29767207891325,148.69767207891326,11.775196181105995
2023-01-02 07:00:00,145.29971802678145,148.69971802678145,11.817438020509337
2023-01-02 08:00:00,145.29930227157425,148.69930227157425,11.808849196623687
2023-01-02 09:00:00,145.30062835543845,148.70062835543845,11.83625264556393
2023-01-02 10:00:00,145.30026842343648,148.70026842343648,11.828812158753603
2023-01-02 11:00:00,145.29719062516386,148.69719062516387,11.76526460068394
2023-01-02 12:00:00,145.30088440530366,148.70088440530367,11.841546827949527
2023-01-02 13:00:00,145.29833623304205,148.69833623304206,11.788902063689736
2023-01-02 14:00:00,145.30019616504404,148.70019616504405,11.82731866436748
2023-01-02 15:00:00,145.29604411064565,148.69604411064566,11.741627434065988
2023-01-02 16:00:00,145.30081802678143,148.70081802678143,11.84017426997227
2023-01-02 17:00:00,145.30078195425023,148.70078195425023,11.839428398157876
2023-01-02 18:00:00,145.30210193158422,148.70210193158422,11.866733810208958
2023-01-02 19:00:00,145.30333600638204,148.70333600638205,11.892284971925331
2023-01-02 20:00:00,145.30603789078543,148.70603789078544,11.948303428953096
2023-01-02 21:00:00,145.30279982052082,148.70279982052082,11.881180698122384
2023-01-02 22:00:00,145.303735553062,148.70373555306202,11.900562180541264
2023-01-02 23:00:00,145.30075952586282,148.70075952586282,11.838964655813447
2023-01-03 00:00:00,145.3028013649342,148.7028013649342,11.881212676574739
2023-01-03 01:00:00,145.30334297734555,148.70334297734556,11.892429366142085
2023-01-03 02:00:00,145.30532699547837,148.70532699547837,11.93355415346797
2023-01-03 03:00:00,145.30844708614237,148.70844708614237,11.998342303155047
2023-01-03 04:00:00,145.31271255802454,148.71271255802455,12.087140979559203
2023-01-03 05:00:00,145.30917836989673,148.70917836989673,12.01354757750152
2023-01-03 06:00:00,145.3172361908353,148.7172361908353,12.181600001381504
2023-01-03 07:00:00,145.3305742610999,148.73057426109992,12.461824432521217
2023-01-03 08:00:00,145.3377161001713,148.7377161001713,12.612916262863214
2023-01-03 09:00:00,145.35195028829912,148.75195028829913,12.81811514629327
2023-01-03 10:00:00,145.37264429509892,148.77264429509893,13.27167102320254
2023-01-03 11:00:00,145.40324218403552,148.80324218403553,13.95379988901674
2023-01-03 12:00:00,145.4245101069711,148.8245101069711,14.435956701710511
2023-01-03 13:00:00,145.4453998916441,148.8453998916441,14.915897418610031
2023-01-03 14:00:00,145.47431376244788,148.87431376244788,15.590507892935166
2023-01-03 15:00:00,145.50870742925767,148.90870742925767,16.408438606571018
2023-01-03 16:00:00,145.53025759925268,148.93025759925268,16.929424734843785
2023-01-03 17:00:00,145.53537580551327,148.93537580551327,17.054115687088572
2023-01-03 18:00:00,145.53958579418028,148.9395857941803,17.156954600622996
2023-01-03 19:00:00,145.5388359641753,148.9388359641753,17.138620133485592
2023-01-03 20:00:00,145.5415741477699,148.9415741477699,17.205610782130663
2023-01-03 21:00:00,145.54939812057071,148.94939812057072,17.397602684445154
2023-01-03 22:00:00,145.5555881319037,148.9555881319037,17.550102174301028
2023-01-03 23:00:00,145.5558361908353,148.9558361908353,17.55622454016004
2023-01-04 00:00:00,145.55660822256772,148.95660822256772,17.57528459371561
2023-01-04 01:00:00,145.5601121047045,148.9601121047045,17.66189297963912
2023-01-04 02:00:00,145.57323784857869,148.9732378485787,17.987844737300755
2023-01-04 03:00:00,145.5861880185737,148.9861880185737,18.31176886444614
2023-01-04 04:00:00,145.58883984631208,148.9888398463121,18.378384356543084
2023-01-04 05:00:00,145.58787768991667,148.98787768991667,18.35420323069307
2023-01-04 06:00:00,145.57954161738547,148.97954161738548,18.14523278336373
2023-01-04 07:00:00,145.5708876785837,148.9708876785837,17.929307774677703
2023-01-04 08:00:00,145.55688356978686,148.95688356978687,17.58208441494337
2023-01-04 09:00:00,145.54907158338648,148.94907158338648,17.38957277656185
2023-01-04 10:00:00,145.53402363778486,148.93402363778486,17.021138286178836
2023-01-04 11:00:00,145.51892974431507,148.91892974431508,16.65475606388433
2023-01-04 12:00:00,145.50799566951727,148.90799566951728,16.391342703682074
2023-01-04 13:00:00,145.4995917873805,148.8995917873805,16.190027581780527
2023-01-04 14:00:00,145.48824583951227,148.88824583951228,15.919816319804365
2023-01-04 15:00:00,145.4814279732417,148.8814279732417,15.758320408532867
2023-01-04 16:00:00,145.4790720367065,148.8790720367065,15.702668167023358
2023-01-04 17:00:00,145.47243841522874,148.87243841522874,15.546391295794603
2023-01-04 18:00:00,145.46555273935255,148.86555273935255,15.384838454898345
2023-01-04 19:00:00,145.46435096827918,148.86435096827918,15.356711528837106
2023-01-04 20:00:00,145.46150502041095,148.86150502041096,15.290185498741169
2023-01-04 21:00:00,145.4609413196022,148.8609413196022,15.277022306832741
2023-01-04 22:00:00,145.459455530396,148.85945553039602,15.242348810716058
2023-01-04 23:00:00,145.4589677434564,148.85896774345642,15.230972319587607
2023-01-05 00:00:00,145.46543589305202,148.86543589305202,15.382102814866991
2023-01-05 01:00:00,145.46857396331663,148.86857396331663,15.455639782881837
2023-01-05 02:00:00,145.47849782278743,148.87849782278744,15.68911594953861
2023-01-05 03:00:00,145.48727984318683,148.88727984318683,15.896894567201047
2023-01-05 04:00:00,145.48991580238803,148.88991580238803,15.959473375135056
2023-01-05 05:00:00,145.4996816142602,148.8996816142602,16.192174122434032
2023-01-05 06:00:00,145.50404765279242,148.90404765279243,16.296643970941236
2023-01-05 07:00:00,145.51246974118982,148.91246974118982,16.498924730017094
2023-01-05 08:00:00,145.51759571172403,148.91759571172403,16.622527882034923
2023-01-05 09:00:00,145.5258637479896,148.9258637479896,16.822672860749645
2023-01-05 10:00:00,145.52755387265262,148.92755387265262,16.863703723947012
2023-01-05 11:00:00,145.53951580238802,148.93951580238803,17.155242864631948
2023-01-05 12:00:00,145.54140969585782,148.94140969585783,17.201584456549693
2023-01-05 13:00:00,145.5477733966666,148.9477733966666,17.3576636078493
2023-01-05 14:00:00,145.5540631813396,148.9540631813396,17.512483494608546
2023-01-05 15:00:00,145.55567128560318,148.9556712856032,17.552154403416754
2023-01-05 16:00:00,145.5595213422682,148.9595213422682,17.647278675796176
2023-01-05 17:00:00,145.5624114669312,148.9624114669312,17.718820750501106
2023-01-05 18:00:00,145.5618116935912,148.96181169359122,17.703964456431073
2023-01-05 19:00:00,145.56179205624724,148.96179205624725,17.703478126693753
2023-01-05 20:00:00,145.55991214691124,148.95991214691125,17.65694587432049
2023-01-05 21:00:00,145.56107019450985,148.96107019450986,17.685604528565634
2023-01-05 22:00:00,145.55533235090525,148.95533235090525,17.543790113880938
2023-01-05 23:00:00,145.55216043250286,148.95216043250286,17.465590280273783
2023-01-06 00:00:00,145.54825843476948,148.94825843476949,17.369583003806575
2023-01-06 01:00:00,145.54394245290226,148.94394245290226,17.263636499183995
2023-01-06 02:00:00,145.54508052316686,148.94508052316687,17.291548090117864
2023-01-06 03:00:00,145.54049062516387,148.94049062516387,17.179089512878214
2023-01-06 04:00:00,145.5350747566267,148.9350747566267,17.04677133398862
2023-01-06 05:00:00,145.53276676569308,148.9327667656931,16.990507907492567
2023-01-06 06:00:00,145.53060683369108,148.9306068336911,16.9379212293586
2023-01-06 07:00:00,145.51983103315192,148.91983103315192,16.676543951708098
2023-01-06 08:00:00,145.51351116914793,148.91351116914794,16.52400693508919
2023-01-06 09:00:00,145.51167132780992,148.91167132780993,16.479705716431134
2023-01-06 10:00:00,145.50425346153935,148.90425346153935,16.30157515975977
2023-01-06 11:00:00,145.50595346153935,148.90595346153935,16.342330071445357
2023-01-06 12:00:00,145.49406156580295,148.89406156580296,16.05809444742185
2023-01-06 13:00:00,145.49546544793975,148.89546544793976,16.091545616852816
2023-01-06 14:00:00,145.48679940940752,148.88679940940753,15.885499459672653
2023-01-06 15:00:00,145.48524946607253,148.88524946607254,15.848759610712596
2023-01-06 16:00:00,145.47867554993675,148.87867554993676,15.693310048122187
2023-01-06 17:00:00,145.47616156580295,148.87616156580296,15.634025430201163
2023-01-06 18:00:00,145.46873359753533,148.86873359753534,15.45938437122765
2023-01-06 19:00:00,145.46729375619736,148.86729375619737,15.425622700770427
2023-01-06 20:00:00,145.46138388086035,148.86138388086036,15.287356340492769
2023-01-06 21:00:00,145.45683993072558,148.85683993072558,15.18138580438395
2023-01-06 22:00:00,145.448611962458,148.848611962458,14.990250557373288
2023-01-06 23:00:00,145.44308998739058,148.84308998739058,14.86251911797648
2023-01-07 00:00:00,145.43998199645696,148.83998199645697,14.790819111058433
2023-01-07 01:00:00,145.432311962458,148.832311962458,14.614468787714447
2023-01-07 02:00:00,145.42393205312197,148.82393205312198,14.422765347505129
2023-01-07 03:00:00,145.42084015738558,148.8208401573856,14.352289336432353
2023-01-07 04:00:00,145.41444615058577,148.81444615058578,14.206984134824902
2023-01-07 05:00:00,145.40661418685139,148.8066141868514,14.029807899763114
2023-01-07 06:00:00,145.4035862185838,148.8035862185838,13.961547173815324
2023-01-07 07:00:00,145.3965483749792,148.7965483749792,13.803405138384273
2023-01-07 08:00:00,145.3943044248444,148.7943044248444,13.753134639526936
2023-01-07 09:00:00,145.3888985449742,148.78889854497422,13.63232991992863
2023-01-07 10:00:00,145.38797468550342,148.78797468550343,13.611727185727302
2023-01-07 11:00:00,145.3865146401714,148.78651464017142,13.579192538952844
2023-01-07 12:00:00,145.38026658123982,148.78026658123983,13.440317150520414
2023-01-07 13:00:00,145.374262472443,148.774262472443,13.307402604313772
2023-01-07 14:00:00,145.3689744588434,148.76897445884342,13.190778463196683
2023-01-07 15:00:00,145.3686383863122,148.7686383863122,13.183380456567875
2023-01-07 16:00:00,145.3644964339108,148.7644964339108,13.092339518930475
2023-01-07 17:00:00,145.3598345041754,148.75983450417542,12.990171466206498
2023-01-07 18:00:00,145.3547146401714,148.75471464017141,12.878336792091282
2023-01-07 19:00:00,145.35131863563822,148.75131863563823,12.902700581996106
2023-01-07 20:00:00,145.34580276710102,148.74580276710103,12.784874858865653
2023-01-07 21:00:00,145.34388667190382,148.74388667190382,12.744045949881874
2023-01-07 22:00:00,145.33421886229823,148.73421886229823,12.53883814342797
2023-01-07 23:00:00,145.33009877163423,148.73009877163423,12.451790910480764
2023-01-08 00:00:00,145.33311053137461,148.73311053137462,12.51539803070112
2023-01-08 01:00:00,145.327502427111,148.727502427111,12.397061285620234
2023-01-08 02:00:00,145.31636247244302,148.71636247244302,12.163332771214554
